date,delta_t,condition,path,name,track_len
20250623,5,E11G8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250623_E11G8_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/002_001.csv,20250623_E11G8_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_002_001,398
20250704,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-05/006_002.csv,20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-05_006_002,353
20250704,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-05/011_003.csv,20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-05_011_003,176
20250704,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-05/006_004.csv,20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-05_006_004,382
20250704,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-05/011_002.csv,20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-05_011_002,176
20250704,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-05/002_003.csv,20250704_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-05_002_003,476
20251211,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20251211_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-03/018_003.csv,20251211_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-03_018_003,164
20251211,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20251211_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-03/000_002.csv,20251211_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-03_000_002,410
20251211,5,S+V-A6B8_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20251211_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-03/017_003.csv,20251211_S+V-A6B8_30ms_0_3umIntervals_15by650_5sFrameRate-03_017_003,148
20250723,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/018_009.csv,20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_018_009,488
20250723,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/019_004.csv,20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_019_004,348
20250723,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/001_007.csv,20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_001_007,724
20250723,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/005_006.csv,20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_005_006,724
20250723,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/015_006.csv,20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_015_006,724
20250723,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/012_000.csv,20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_012_000,72
20250723,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/017_012.csv,20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_017_012,296
20250723,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/007_006.csv,20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_007_006,724
20250723,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/018_010.csv,20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_018_010,428
20250723,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/015_005.csv,20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_015_005,724
20250723,5,G7B8G2_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06/019_002.csv,20250723_G7B8G2_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-06_019_002,724
20250731,5,15B-18G9_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-05/005_004.csv,20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-05_005_004,248
20250731,5,15B-18G9_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-05/014_005.csv,20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-05_014_005,706
20250731,5,15B-18G9_GSK,/mnt/md0/jjusuf/bild/final_tracks_20250310/export_qc_filtered_5sTracks/20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-05/012_001.csv,20250731_15B-18G9_GSK_30ms_0_3umIntervals_15by650_5sFrameRate-05_012_001,724
